Level,HP,Sp,Attack,Defense,Magic Defense,Speed,Luck
1,50,15,30,25,14,22,10
2,53,16,32,26,15,23,11
3,56,17,34,27,16,24,12
4,59,18,36,28,17,25,13
5,62,19,38,29,18,26,14
6,65,20,40,30,19,27,15
7,68,21,42,32,20,28,16
8,71,22,44,34,21,29,17
9,75,23,46,36,22,30,18
10,79,24,48,38,23,32,19
11,83,25,50,40,24,34,20
12,87,26,53,42,25,36,21
13,91,27,56,44,26,38,22
14,96,28,59,46,27,40,23
15,101,29,62,48,28,42,24
16,106,30,65,50,29,44,25
17,111,32,68,53,30,46,26
18,117,34,71,56,32,48,27
19,123,36,75,59,34,50,28
20,129,38,79,62,36,53,29
21,135,40,83,65,38,56,30
22,142,42,87,68,40,59,32
23,149,44,91,71,42,62,34
24,156,46,96,75,44,65,36
25,164,48,101,79,46,68,38
26,172,50,106,83,48,71,40
27,181,53,111,87,50,75,42
28,190,56,117,91,53,79,44
29,200,59,123,96,56,83,46
30,210,62,129,101,59,87,48
31,221,65,135,106,62,91,50
32,232,68,142,111,65,96,53
33,244,71,149,117,68,101,56
34,256,75,156,123,71,106,59
35,269,79,164,129,75,111,62
36,282,83,172,135,79,117,65
37,296,87,181,142,83,123,68
38,311,91,190,149,87,129,71
39,327,96,200,156,91,135,75
40,343,101,210,164,96,142,79
41,360,106,221,172,101,149,83
42,378,111,232,181,106,156,87
43,397,117,244,190,111,164,91
44,417,123,256,200,117,172,96
45,438,129,269,210,123,181,101
46,460,135,282,221,129,190,106
47,483,142,296,232,135,200,111
48,507,149,311,244,142,210,117
49,532,156,327,256,149,221,123
50,559,164,343,269,156,232,129
51,587,172,360,282,164,244,135
52,616,181,378,296,172,256,142
53,647,190,397,311,181,269,149
54,679,200,417,327,190,282,156
55,713,210,438,343,200,296,164
56,749,221,460,360,210,311,172
57,786,232,483,378,221,327,181
58,825,244,507,397,232,343,190
59,866,256,532,417,244,360,200
60,909,269,559,438,256,378,210
61,954,282,587,460,269,397,221
62,1002,296,616,483,282,417,232
63,1052,311,647,507,296,438,244
64,1105,327,679,532,311,460,256
65,1160,343,713,559,327,483,269
66,1218,360,749,587,343,507,282
67,1279,378,786,616,360,532,296
68,1343,397,825,647,378,559,311
69,1410,417,866,679,397,587,327
70,1481,438,909,713,417,616,343
71,1555,460,954,749,438,647,360
72,1633,483,1002,786,460,679,378
73,1715,507,1052,825,483,713,397
74,1801,532,1105,866,507,749,417
75,1891,559,1160,909,532,786,438
76,1986,587,1218,954,559,825,460
77,2085,616,1279,1002,587,866,483
78,2189,647,1343,1052,616,909,507
79,2298,679,1410,1105,647,954,532
80,2413,713,1481,1160,679,1002,559
81,2534,749,1555,1218,713,1052,587
82,2661,786,1633,1279,749,1105,616
83,2794,825,1715,1343,786,1160,647
84,2934,866,1801,1410,825,1218,679
85,3081,909,1891,1481,866,1279,713
86,3235,954,1986,1555,909,1343,749
87,3397,1002,2085,1633,954,1410,786
88,3567,1052,2189,1715,1002,1481,825
89,3745,1105,2298,1801,1052,1555,866
90,3932,1160,2413,1891,1105,1633,909
91,4129,1218,2534,1986,1160,1715,954
92,4335,1279,2661,2085,1218,1801,1002
93,4552,1343,2794,2189,1279,1891,1052
94,4780,1410,2934,2298,1343,1986,1105
95,5019,1481,3081,2413,1410,2085,1160
96,5270,1555,3235,2534,1481,2189,1218
97,5534,1633,3397,2661,1555,2298,1279
98,5811,1715,3567,2794,1633,2413,1343
99,6102,1801,3745,2934,1715,2534,1410
100,6407,1891,3932,3081,1801,2661,1481
