Level,HP,Sp,Attack,Defense,Magic Defense,Speed,Luck
1,40,21,7,17,13,14,1
2,210,37,21,32,74,53,32
3,221,39,22,34,78,56,34
4,232,41,23,36,82,59,36
5,244,43,24,38,86,62,38
6,256,45,25,40,90,65,40
7,269,47,26,42,95,68,42
8,282,49,27,44,100,71,44
9,296,51,28,46,105,75,46
10,311,54,29,48,110,79,48
11,327,57,30,50,116,83,50
12,343,60,32,53,122,87,53
13,360,63,34,56,128,91,56
14,378,66,36,59,134,96,59
15,397,69,38,62,141,101,62
16,417,72,40,65,148,106,65
17,438,76,42,68,155,111,68
18,460,80,44,71,163,117,71
19,483,84,46,75,171,123,75
20,507,88,48,79,180,129,79
21,532,92,50,83,189,135,83
22,559,97,53,87,198,142,87
23,587,102,56,91,208,149,91
24,616,107,59,96,218,156,96
25,647,112,62,101,229,164,101
26,679,118,65,106,240,172,106
27,713,124,68,111,252,181,111
28,749,130,71,117,265,190,117
29,786,137,75,123,278,200,123
30,825,144,79,129,292,210,129
31,866,151,83,135,307,221,135
32,909,159,87,142,322,232,142
33,954,167,91,149,338,244,149
34,1002,175,96,156,355,256,156
35,1052,184,101,164,373,269,164
36,1105,193,106,172,392,282,172
37,1160,203,111,181,412,296,181
38,1218,213,117,190,433,311,190
39,1279,224,123,200,455,327,200
40,1343,235,129,210,478,343,210
41,1410,247,135,221,502,360,221
42,1481,259,142,232,527,378,232
43,1555,272,149,244,553,397,244
44,1633,286,156,256,581,417,256
45,1715,300,164,269,610,438,269
46,1801,315,172,282,641,460,282
47,1891,331,181,296,673,483,296
48,1986,348,190,311,707,507,311
49,2085,365,200,327,742,532,327
50,2189,383,210,343,779,559,343
51,2298,402,221,360,818,587,360
52,2413,422,232,378,859,616,378
53,2534,443,244,397,902,647,397
54,2661,465,256,417,947,679,417
55,2794,488,269,438,994,713,438
56,2934,512,282,460,1044,749,460
57,3081,538,296,483,1096,786,483
58,3235,565,311,507,1151,825,507
59,3397,593,327,532,1209,866,532
60,3567,623,343,559,1269,909,559
61,3745,654,360,587,1332,954,587
62,3932,687,378,616,1399,1002,616
63,4129,721,397,647,1469,1052,647
64,4335,757,417,679,1542,1105,679
65,4552,795,438,713,1619,1160,713
66,4780,835,460,749,1700,1218,749
67,5019,877,483,786,1785,1279,786
68,5270,921,507,825,1874,1343,825
69,5534,967,532,866,1968,1410,866
70,5811,1015,559,909,2066,1481,909
71,6102,1066,587,954,2169,1555,954
72,6407,1119,616,1002,2277,1633,1002
73,6727,1175,647,1052,2391,1715,1052
74,7063,1234,679,1105,2511,1801,1105
75,7416,1296,713,1160,2637,1891,1160
76,7787,1361,749,1218,2769,1986,1218
77,8176,1429,786,1279,2907,2085,1279
78,8585,1500,825,1343,3052,2189,1343
79,9014,1575,866,1410,3205,2298,1410
80,9465,1654,909,1481,3365,2413,1481
81,9938,1737,954,1555,3533,2534,1555
82,10435,1824,1002,1633,3710,2661,1633
83,10957,1915,1052,1715,3896,2794,1715
84,11505,2011,1105,1801,4091,2934,1801
85,12080,2112,1160,1891,4296,3081,1891
86,12684,2218,1218,1986,4511,3235,1986
87,13318,2329,1279,2085,4737,3397,2085
88,13984,2445,1343,2189,4974,3567,2189
89,14683,2567,1410,2298,5223,3745,2298
90,15417,2695,1481,2413,5484,3932,2413
91,16188,2830,1555,2534,5758,4129,2534
92,16997,2972,1633,2661,6046,4335,2661
93,17847,3121,1715,2794,6348,4552,2794
94,18739,3277,1801,2934,6665,4780,2934
95,19676,3441,1891,3081,6998,5019,3081
96,20660,3613,1986,3235,7348,5270,3235
97,21693,3794,2085,3397,7715,5534,3397
98,22778,3984,2189,3567,8101,5811,3567
99,23917,4183,2298,3745,8506,6102,3745
100,454,238,94,175,139,148,13
